price,levy,brand,category,leather_interior,fuel_type,engine_volume,mileage,cylinders,type,drive_wheels,doors,wheel,color,airbags,car_age
1662100,1018,chevrolet,jeep,no,petrol,3.0,192000,6.0,automatic,4x4,4,left,black,8,13
360700,862,ford,jeep,yes,hybrid,2.5,168966,4.0,automatic,4x4,4,left,white,0,13
3949300,891,hyundai,jeep,yes,diesel,2.0,160931,4.0,automatic,front,4,left,white,4,8
180300,761,toyota,hatchback,yes,hybrid,1.8,258909,4.0,automatic,front,4,left,white,12,14
54900,751,hyundai,sedan,yes,petrol,2.4,216118,4.0,automatic,front,4,left,grey,12,11
109800,394,toyota,sedan,yes,hybrid,2.5,398069,4.0,automatic,front,4,left,black,12,10
94100,1053,mercedes-benz,sedan,yes,diesel,3.5,184467,6.0,automatic,rear,4,left,white,12,10
5946400,891,hyundai,jeep,yes,diesel,2.0,76000,4.0,automatic,front,4,left,white,4,8
54900,1079,toyota,jeep,yes,petrol,2.0,74146,4.0,automatic,front,4,left,white,12,6
768300,810,hyundai,sedan,yes,petrol,1.8,121840,4.0,automatic,front,4,left,blue,12,8
2838200,810,hyundai,sedan,yes,petrol,1.8,54317,4.0,automatic,front,4,left,white,4,8
54900,2386,hyundai,sedan,yes,petrol,3.3,295059,6.0,automatic,rear,4,left,blue,12,18
1882600,531,hyundai,sedan,yes,petrol,1.6,112645,4.0,automatic,front,4,left,silver,4,12
1756200,1249,toyota,sedan,yes,petrol,2.5,39709,4.0,automatic,front,4,left,black,12,7
784000,781,ford,microbus,no,diesel,2.0,230000,4.0,manual,front,2,left,white,0,23
2038500,781,mercedes-benz,sedan,yes,diesel,2.2,210000,4.0,automatic,rear,4,left,black,8,18
3000,781,toyota,sedan,no,hybrid,1.5,169000,4.0,automatic,front,4,left,white,8,16
1445400,583,hyundai,sedan,yes,petrol,1.6,158787,4.0,automatic,front,4,left,silver,4,13
1207400,1537,toyota,jeep,yes,hybrid,3.3,420550,6.0,automatic,4x4,4,left,blue,12,15
12500,1750,toyota,sedan,yes,hybrid,3.3,287274,6.0,automatic,4x4,4,left,white,12,16
2323500,707,hyundai,jeep,yes,diesel,2.0,162000,4.0,automatic,front,4,left,grey,4,13
5174600,1077,toyota,jeep,no,petrol,2.0,10200,4.0,automatic,front,4,left,red,12,5
1912100,531,hyundai,sedan,yes,petrol,1.6,103490,4.0,automatic,front,4,left,silver,4,12
2446200,751,toyota,sedan,yes,petrol,2.4,203200,4.0,automatic,front,4,left,blue,4,11
2132600,382,hyundai,sedan,yes,hybrid,2.4,141000,4.0,automatic,front,4,left,white,12,10
22000,1194,toyota,jeep,yes,petrol,4.0,239342,6.0,automatic,4x4,4,left,silver,12,11
5539000,1017,hyundai,jeep,yes,diesel,2.0,100734,4.0,automatic,front,4,left,black,4,7
1254400,781,toyota,hatchback,no,hybrid,1.5,141500,4.0,automatic,front,4,right,black,8,12
39200,1017,mercedes-benz,sedan,yes,petrol,2.0,1600,4.0,automatic,rear,4,left,black,12,7
878100,781,mercedes-benz,coupe,no,petrol,2.0,260000,4.0,manual,rear,2,left,blue,0,23
8711200,781,mercedes-benz,jeep,yes,petrol,2.0,5323,4.0,automatic,4x4,4,left,grey,0,5
39200,919,bmw,sedan,yes,petrol,3.0,204318,6.0,automatic,rear,4,left,black,12,12
2352100,781,chevrolet,sedan,no,petrol,1.4,22000,4.0,automatic,front,4,left,red,6,6
1693500,530,ford,sedan,no,petrol,1.6,83000,4.0,automatic,front,4,left,silver,8,11
